	index	ROIName7	R	A	S	tf_label_7	tf_color_7	ROILabel17	ROIName17	tf_label_17	tf_color_17
43	44	7Networks_LH_SomMot_13	-62	-10	32	7Networks_LH_SomMot_13	#4682af	56	17Networks_LH_SomMotB_Cent_2	17Networks_LH_SomMotB_Aud_13	#2bccab
44	45	7Networks_LH_SomMot_14	-54	-8	30	7Networks_LH_SomMot_14	#4682b0	57	17Networks_LH_SomMotB_Cent_3	17Networks_LH_SomMotB_Aud_14	#2bcda4
45	46	7Networks_LH_SomMot_15	-54	-20	40	7Networks_LH_SomMot_15	#4682b1	74	17Networks_LH_DorsAttnB_PostC_2	17Networks_LH_DorsAttnB_PostC_2	#00760d
46	47	7Networks_LH_SomMot_16	-52	-6	44	7Networks_LH_SomMot_16	#4682b2	58	17Networks_LH_SomMotB_Cent_4	17Networks_LH_SomMotB_Aud_15	#2bcda5
47	48	7Networks_LH_SomMot_17	-48	-16	40	7Networks_LH_SomMot_17	#4682b3	59	17Networks_LH_SomMotB_Cent_5	17Networks_LH_SomMotB_Aud_16	#2bcda6
48	49	7Networks_LH_SomMot_18	-8	-16	48	7Networks_LH_SomMot_18	#4682b5	25	17Networks_LH_SomMotA_1	17Networks_LH_SomMotA_1	#4681b4
49	50	7Networks_LH_SomMot_19	-40	-14	48	7Networks_LH_SomMot_19	#4682b6	26	17Networks_LH_SomMotA_2	17Networks_LH_SomMotA_2	#4682ad
50	51	7Networks_LH_SomMot_20	-48	-18	54	7Networks_LH_SomMot_20	#4682b7	27	17Networks_LH_SomMotA_3	17Networks_LH_SomMotA_3	#4682ae
51	52	7Networks_LH_SomMot_21	-48	-30	58	7Networks_LH_SomMot_21	#4682b8	28	17Networks_LH_SomMotA_4	17Networks_LH_SomMotA_4	#4682af
52	53	7Networks_LH_SomMot_22	-38	-24	52	7Networks_LH_SomMot_22	#4682b9	29	17Networks_LH_SomMotA_5	17Networks_LH_SomMotA_5	#4682b0
53	54	7Networks_LH_SomMot_23	-8	-38	54	7Networks_LH_SomMot_23	#4682ba	30	17Networks_LH_SomMotA_6	17Networks_LH_SomMotA_6	#4682b1
54	55	7Networks_LH_SomMot_24	-4	-24	56	7Networks_LH_SomMot_24	#4682bb	31	17Networks_LH_SomMotA_7	17Networks_LH_SomMotA_7	#4682b2
55	56	7Networks_LH_SomMot_25	-4	-8	60	7Networks_LH_SomMot_25	#4683b4	32	17Networks_LH_SomMotA_8	17Networks_LH_SomMotA_8	#4682b3
56	57	7Networks_LH_SomMot_26	-36	-20	64	7Networks_LH_SomMot_26	#4683b5	33	17Networks_LH_SomMotA_9	17Networks_LH_SomMotA_9	#4682b5
57	58	7Networks_LH_SomMot_27	-30	-46	62	7Networks_LH_SomMot_27	#4683b6	78	17Networks_LH_DorsAttnB_PostC_6	17Networks_LH_DorsAttnB_PostC_6	#007612
58	59	7Networks_LH_SomMot_28	-32	-30	62	7Networks_LH_SomMot_28	#4683b7	34	17Networks_LH_SomMotA_10	17Networks_LH_SomMotA_10	#4682b6
59	60	7Networks_LH_SomMot_29	-30	-38	66	7Networks_LH_SomMot_29	#4683b8	35	17Networks_LH_SomMotA_11	17Networks_LH_SomMotA_11	#4682b7
60	61	7Networks_LH_SomMot_30	-24	-10	64	7Networks_LH_SomMot_30	#4683b9	36	17Networks_LH_SomMotA_12	17Networks_LH_SomMotA_12	#4682b8
61	62	7Networks_LH_SomMot_31	-20	-24	66	7Networks_LH_SomMot_31	#4683ba	37	17Networks_LH_SomMotA_13	17Networks_LH_SomMotA_13	#4682b9
62	63	7Networks_LH_SomMot_32	-8	-42	70	7Networks_LH_SomMot_32	#4683bb	38	17Networks_LH_SomMotA_14	17Networks_LH_SomMotA_14	#4682ba
63	64	7Networks_LH_SomMot_33	-4	-26	68	7Networks_LH_SomMot_33	#4684b4	39	17Networks_LH_SomMotA_15	17Networks_LH_SomMotA_15	#4682bb
64	65	7Networks_LH_SomMot_34	-14	-12	72	7Networks_LH_SomMot_34	#4684b5	40	17Networks_LH_SomMotA_16	17Networks_LH_SomMotA_16	#4683b4
65	66	7Networks_LH_SomMot_35	-18	-32	68	7Networks_LH_SomMot_35	#4684b6	41	17Networks_LH_SomMotA_17	17Networks_LH_SomMotA_17	#4683b5
66	67	7Networks_LH_SomMot_36	-18	-40	72	7Networks_LH_SomMot_36	#4684b7	42	17Networks_LH_SomMotA_18	17Networks_LH_SomMotA_18	#4683b6
67	68	7Networks_LH_SomMot_37	-12	-26	74	7Networks_LH_SomMot_37	#4684b8	43	17Networks_LH_SomMotA_19	17Networks_LH_SomMotA_19	#4683b7
68	69	7Networks_LH_DorsAttn_Post_1	-44	-42	-22	7Networks_LH_DorsAttn_Post_1	#007607	60	17Networks_LH_DorsAttnA_TempOcc_1	17Networks_LH_DorsAttnA_TempOcc_1	#4a9b3d
69	70	7Networks_LH_DorsAttn_Post_2	-48	-56	-16	7Networks_LH_DorsAttn_Post_2	#007608	62	17Networks_LH_DorsAttnA_TempOcc_3	17Networks_LH_DorsAttnA_TempOcc_3	#4a9b3f
70	71	7Networks_LH_DorsAttn_Post_3	-56	-62	0	7Networks_LH_DorsAttn_Post_3	#007609	121	17Networks_LH_ContA_Temp_1	17Networks_LH_ContA_Temp_1	#e69423
71	72	7Networks_LH_DorsAttn_Post_4	-48	-66	16	7Networks_LH_DorsAttn_Post_4	#00760a	64	17Networks_LH_DorsAttnA_ParOcc_1	17Networks_LH_DorsAttnA_ParOcc_1	#4a9b41
72	73	7Networks_LH_DorsAttn_Post_5	-26	-70	30	7Networks_LH_DorsAttn_Post_5	#00760b	66	17Networks_LH_DorsAttnA_SPL_1	17Networks_LH_DorsAttnA_SPL_2	#4a9c3b
73	74	7Networks_LH_DorsAttn_Post_6	-54	-32	44	7Networks_LH_DorsAttn_Post_6	#00760c	75	17Networks_LH_DorsAttnB_PostC_3	17Networks_LH_DorsAttnB_PostC_3	#00760e
74	75	7Networks_LH_DorsAttn_Post_7	-22	-66	46	7Networks_LH_DorsAttn_Post_7	#00760d	68	17Networks_LH_DorsAttnA_SPL_3	17Networks_LH_DorsAttnA_SPL_4	#4a9c3e
75	76	7Networks_LH_DorsAttn_Post_8	-46	-30	44	7Networks_LH_DorsAttn_Post_8	#00760f	76	17Networks_LH_DorsAttnB_PostC_4	17Networks_LH_DorsAttnB_PostC_4	#007610
76	77	7Networks_LH_DorsAttn_Post_9	-34	-46	40	7Networks_LH_DorsAttn_Post_9	#007610	126	17Networks_LH_ContA_IPS_5	17Networks_LH_ContA_IPS_5	#e69427
77	78	7Networks_LH_DorsAttn_Post_10	-28	-58	50	7Networks_LH_DorsAttn_Post_10	#007611	69	17Networks_LH_DorsAttnA_SPL_4	17Networks_LH_DorsAttnA_SPL_5	#4a9c3f
78	79	7Networks_LH_DorsAttn_Post_11	-38	-38	50	7Networks_LH_DorsAttn_Post_11	#007612	77	17Networks_LH_DorsAttnB_PostC_5	17Networks_LH_DorsAttnB_PostC_5	#007611
79	80	7Networks_LH_DorsAttn_Post_12	-36	-52	56	7Networks_LH_DorsAttn_Post_12	#007613	70	17Networks_LH_DorsAttnA_SPL_5	17Networks_LH_DorsAttnA_SPL_6	#4a9c40
80	81	7Networks_LH_DorsAttn_Post_13	-14	-70	58	7Networks_LH_DorsAttn_Post_13	#007614	71	17Networks_LH_DorsAttnA_SPL_6	17Networks_LH_DorsAttnA_SPL_7	#4a9c41
81	82	7Networks_LH_DorsAttn_Post_14	-28	-62	62	7Networks_LH_DorsAttn_Post_14	#007615	72	17Networks_LH_DorsAttnA_SPL_7	17Networks_LH_DorsAttnA_SPL_8	#4a9c42
82	83	7Networks_LH_DorsAttn_Post_15	-8	-58	64	7Networks_LH_DorsAttn_Post_15	#00770e	79	17Networks_LH_DorsAttnB_PostC_7	17Networks_LH_DorsAttnB_PostC_7	#007613
83	84	7Networks_LH_DorsAttn_Post_16	-20	-56	66	7Networks_LH_DorsAttn_Post_16	#00770f	80	17Networks_LH_DorsAttnB_PostC_8	17Networks_LH_DorsAttnB_PostC_8	#007614
84	85	7Networks_LH_DorsAttn_Post_17	-14	-50	72	7Networks_LH_DorsAttn_Post_17	#007710	81	17Networks_LH_DorsAttnB_PostC_9	17Networks_LH_DorsAttnB_PostC_9	#007615
85	86	7Networks_LH_DorsAttn_FEF_1	-40	-2	52	7Networks_LH_DorsAttn_FEF_1	#007616	82	17Networks_LH_DorsAttnB_FEF_1	17Networks_LH_DorsAttnB_FEF_1	#00770f
86	87	7Networks_LH_DorsAttn_FEF_2	-26	0	56	7Networks_LH_DorsAttn_FEF_2	#007711	83	17Networks_LH_DorsAttnB_FEF_2	17Networks_LH_DorsAttnB_FEF_2	#007710
87	88	7Networks_LH_DorsAttn_FEF_3	-30	-8	52	7Networks_LH_DorsAttn_FEF_3	#007712	84	17Networks_LH_DorsAttnB_FEF_3	17Networks_LH_DorsAttnB_FEF_3	#007711
88	89	7Networks_LH_DorsAttn_FEF_4	-22	6	64	7Networks_LH_DorsAttn_FEF_4	#007713	127	17Networks_LH_ContA_PFCd_1	17Networks_LH_ContA_PFCd_1	#e69523
89	90	7Networks_LH_DorsAttn_PrCv_1	-50	6	26	7Networks_LH_DorsAttn_PrCv_1	#007714	130	17Networks_LH_ContA_PFCl_1	17Networks_LH_ContA_PFCl_3	#e69525
90	91	7Networks_LH_DorsAttn_PrCv_2	-50	2	38	7Networks_LH_DorsAttn_PrCv_2	#007715	85	17Networks_LH_DorsAttnB_PrCv_1	17Networks_LH_DorsAttnB_PrCv_1	#007712
91	92	7Networks_LH_SalVentAttn_ParOper_1	-54	-32	22	7Networks_LH_SalVentAttn_ParOper_1	#c43afb	86	17Networks_LH_SalVentAttnA_ParOper_1	17Networks_LH_SalVentAttnA_ParOper_1	#c43afb
92	93	7Networks_LH_SalVentAttn_ParOper_2	-58	-44	28	7Networks_LH_SalVentAttn_ParOper_2	#c43afc	87	17Networks_LH_SalVentAttnA_ParOper_2	17Networks_LH_SalVentAttnA_ParOper_2	#c43afc
93	94	7Networks_LH_SalVentAttn_ParOper_3	-62	-24	32	7Networks_LH_SalVentAttn_ParOper_3	#c43afd	73	17Networks_LH_DorsAttnB_PostC_1	17Networks_LH_DorsAttnB_PostC_1	#00760c
94	95	7Networks_LH_SalVentAttn_ParOper_4	-62	-36	34	7Networks_LH_SalVentAttn_ParOper_4	#c43afe	88	17Networks_LH_SalVentAttnA_ParOper_3	17Networks_LH_SalVentAttnA_ParOper_3	#c43afd
95	96	7Networks_LH_SalVentAttn_TempOcc_1	-58	-54	10	7Networks_LH_SalVentAttn_TempOcc_1	#c43aff	199	17Networks_LH_TempPar_5	17Networks_LH_TempPar_5	#0929fc
96	97	7Networks_LH_SalVentAttn_FrOperIns_1	-44	6	-16	7Networks_LH_SalVentAttn_FrOper_1	#c43bf7	120	17Networks_LH_LimbicA_TempPole_7	17Networks_LH_Limbic_TempPole_7	#dcf8a9
97	98	7Networks_LH_SalVentAttn_FrOperIns_2	-38	2	-4	7Networks_LH_SalVentAttn_FrOper_2	#c43bf8	89	17Networks_LH_SalVentAttnA_Ins_1	17Networks_LH_SalVentAttnA_Ins_1	#c43bf9
98	99	7Networks_LH_SalVentAttn_FrOperIns_3	-32	24	0	7Networks_LH_SalVentAttn_FrOper_3	#c43bf9	105	17Networks_LH_SalVentAttnB_Ins_2	17Networks_LH_SalVentAttnB_PFCv_2	#ff99da
99	100	7Networks_LH_SalVentAttn_FrOperIns_4	-40	-14	-2	7Networks_LH_SalVentAttn_FrOper_4	#c43bfb	90	17Networks_LH_SalVentAttnA_Ins_2	17Networks_LH_SalVentAttnA_Ins_2	#c43bfb
