	index	ROIName7	R	A	S	tf_label_7	tf_color_7	ROILabel17	ROIName17	tf_label_17	tf_color_17
134	135	7Networks_LH_Cont_PFCl_1	-42	48	-6	7Networks_LH_Cont_PFCl_2	#e69521	140	17Networks_LH_ContB_PFClv_1	17Networks_LH_ContB_PFClv_1	#88324b
135	136	7Networks_LH_Cont_PFCl_2	-48	36	10	7Networks_LH_Cont_PFCl_3	#e69522	128	17Networks_LH_ContA_PFClv_1	17Networks_LH_ContA_PFCl_1	#e69522
136	137	7Networks_LH_Cont_PFCl_3	-38	50	10	7Networks_LH_Cont_PFCl_4	#e69524	101	17Networks_LH_SalVentAttnB_PFCl_1	17Networks_LH_SalVentAttnB_PFCl_1	#ff99d6
137	138	7Networks_LH_Cont_PFCl_4	-28	56	12	7Networks_LH_Cont_PFCl_5	#e69525	142	17Networks_LH_ContB_PFClv_3	17Networks_LH_ContB_PFClv_3	#88324d
138	139	7Networks_LH_Cont_PFCl_5	-42	38	22	7Networks_LH_Cont_PFCl_6	#e69526	129	17Networks_LH_ContA_PFClv_2	17Networks_LH_ContA_PFCl_2	#e69524
139	140	7Networks_LH_Cont_PFCl_6	-44	20	26	7Networks_LH_Cont_PFCl_7	#e69527	131	17Networks_LH_ContA_PFCl_2	17Networks_LH_ContA_PFCl_4	#e69526
140	141	7Networks_LH_Cont_PFCl_7	-40	8	34	7Networks_LH_Cont_PFCl_8	#e69528	132	17Networks_LH_ContA_PFCl_3	17Networks_LH_ContA_PFCl_5	#e69527
141	142	7Networks_LH_Cont_PFCl_8	-36	32	38	7Networks_LH_Cont_PFCl_9	#e69529	103	17Networks_LH_SalVentAttnB_PFCl_3	17Networks_LH_SalVentAttnB_PFCl_3	#ff99d8
142	143	7Networks_LH_Cont_PFCv_1	-34	16	-8	7Networks_LH_Cont_PFCv_1	#e79424	104	17Networks_LH_SalVentAttnB_Ins_1	17Networks_LH_SalVentAttnB_PFCv_1	#ff99d9
143	144	7Networks_LH_Cont_pCun_1	-10	-78	46	7Networks_LH_Cont_pCun_1	#e79523	145	17Networks_LH_ContC_pCun_2	17Networks_LH_ContC_pCun_2	#778cb2
144	145	7Networks_LH_Cont_pCun_2	-4	-64	52	7Networks_LH_Cont_pCun_2	#e79524	146	17Networks_LH_ContC_pCun_3	17Networks_LH_ContC_pCun_3	#778cb3
145	146	7Networks_LH_Cont_Cing_1	-4	6	28	7Networks_LH_Cont_Cing_1	#e79525	133	17Networks_LH_ContA_Cingm_1	17Networks_LH_ContA_Cinga_1	#e79424
146	147	7Networks_LH_Cont_Cing_2	-4	-22	30	7Networks_LH_Cont_Cing_2	#e79526	148	17Networks_LH_ContC_Cingp_2	17Networks_LH_ContC_Cingp_2	#778cb5
147	148	7Networks_LH_Cont_PFCmp_1	-4	28	48	7Networks_LH_Cont_PFCmp_1	#e69422	143	17Networks_LH_ContB_PFCmp_1	17Networks_LH_ContB_PFCmp_1	#88324e
148	149	7Networks_LH_Default_Temp_1	-54	-2	-30	7Networks_LH_Default_Temp_1	#cd3e48	168	17Networks_LH_DefaultB_Temp_2	17Networks_LH_DefaultB_Temp_2	#cd3e4f
149	150	7Networks_LH_Default_Temp_2	-62	-18	-20	7Networks_LH_Default_Temp_2	#cd3e49	169	17Networks_LH_DefaultB_Temp_3	17Networks_LH_DefaultB_Temp_3	#cd3e50
150	151	7Networks_LH_Default_Temp_3	-60	-36	-18	7Networks_LH_Default_Temp_3	#cd3e4a	134	17Networks_LH_ContB_Temp_1	17Networks_LH_ContB_Temp_1	#87324b
151	152	7Networks_LH_Default_Temp_4	-56	-8	-14	7Networks_LH_Default_Temp_4	#cd3e4b	170	17Networks_LH_DefaultB_Temp_4	17Networks_LH_DefaultB_Temp_4	#cd3e51
152	153	7Networks_LH_Default_Temp_5	-52	6	-12	7Networks_LH_Default_Temp_5	#cd3e4c	195	17Networks_LH_TempPar_1	17Networks_LH_TempPar_1	#0c30fe
153	154	7Networks_LH_Default_Temp_6	-60	-34	-4	7Networks_LH_Default_Temp_6	#cd3e4d	171	17Networks_LH_DefaultB_Temp_5	17Networks_LH_DefaultB_Temp_5	#cd3e52
154	155	7Networks_LH_Default_Temp_7	-52	-22	-6	7Networks_LH_Default_Temp_7	#cd3e4e	172	17Networks_LH_DefaultB_Temp_6	17Networks_LH_DefaultB_Temp_6	#cd3e53
155	156	7Networks_LH_Default_Temp_8	-60	-12	-2	7Networks_LH_Default_Temp_8	#cd3e50	196	17Networks_LH_TempPar_2	17Networks_LH_TempPar_2	#0929f9
156	157	7Networks_LH_Default_Temp_9	-62	-32	6	7Networks_LH_Default_Temp_9	#cd3e51	197	17Networks_LH_TempPar_3	17Networks_LH_TempPar_3	#0929fa
157	158	7Networks_LH_Default_Temp_10	-52	-44	4	7Networks_LH_Default_Temp_10	#cd3e52	198	17Networks_LH_TempPar_4	17Networks_LH_TempPar_4	#0929fb
158	159	7Networks_LH_Default_Par_1	-58	-48	16	7Networks_LH_Default_Temp_11	#cd3e53	200	17Networks_LH_TempPar_6	17Networks_LH_TempPar_6	#0929fd
159	160	7Networks_LH_Default_Par_2	-46	-58	20	7Networks_LH_Default_Temp_12	#cd3e54	173	17Networks_LH_DefaultB_IPL_1	17Networks_LH_DefaultB_IPL_1	#cd3e54
160	161	7Networks_LH_Default_Par_3	-40	-78	30	7Networks_LH_Default_Temp_13	#cd3e55	188	17Networks_LH_DefaultC_IPL_1	17Networks_LH_DefaultC_IPL_1	#000083
161	162	7Networks_LH_Default_Par_4	-48	-64	32	7Networks_LH_Default_Temp_14	#cd3e56	149	17Networks_LH_DefaultA_IPL_1	17Networks_LH_DefaultA_IPL_1	#ffff01
162	163	7Networks_LH_Default_Par_5	-56	-54	30	7Networks_LH_Default_Temp_15	#cd3f4f	174	17Networks_LH_DefaultB_IPL_2	17Networks_LH_DefaultB_IPL_2	#cd3e55
163	164	7Networks_LH_Default_Par_6	-42	-72	44	7Networks_LH_Default_Temp_16	#cd3f50	150	17Networks_LH_DefaultA_IPL_2	17Networks_LH_DefaultA_IPL_2	#ffff02
164	165	7Networks_LH_Default_Par_7	-48	-60	46	7Networks_LH_Default_Temp_17	#cd3f51	136	17Networks_LH_ContB_IPL_1	17Networks_LH_ContB_IPL_1	#87324d
165	166	7Networks_LH_Default_PFC_1	-36	22	-16	7Networks_LH_Default_PFC_1	#cd3f47	183	17Networks_LH_DefaultB_PFCv_1	17Networks_LH_DefaultB_PFCv_1	#ce3e4d
166	167	7Networks_LH_Default_PFC_2	-36	36	-12	7Networks_LH_Default_PFC_2	#cd3f48	184	17Networks_LH_DefaultB_PFCv_2	17Networks_LH_DefaultB_PFCv_2	#ce3e4f
167	168	7Networks_LH_Default_PFC_3	-4	56	-10	7Networks_LH_Default_PFC_3	#cd3f49	161	17Networks_LH_DefaultA_PFCm_1	17Networks_LH_DefaultA_PFCm_1	#feff01
168	169	7Networks_LH_Default_PFC_4	-6	36	-8	7Networks_LH_Default_PFC_4	#cd3f4a	162	17Networks_LH_DefaultA_PFCm_2	17Networks_LH_DefaultA_PFCm_2	#feff02
169	170	7Networks_LH_Default_PFC_5	-46	32	-10	7Networks_LH_Default_PFC_5	#cd3f4b	185	17Networks_LH_DefaultB_PFCv_3	17Networks_LH_DefaultB_PFCv_3	#ce3e50
170	171	7Networks_LH_Default_PFC_6	-28	58	0	7Networks_LH_Default_PFC_6	#cd3f4c	141	17Networks_LH_ContB_PFClv_2	17Networks_LH_ContB_PFClv_2	#88324c
171	172	7Networks_LH_Default_PFC_7	-48	28	0	7Networks_LH_Default_PFC_7	#cd3f4d	186	17Networks_LH_DefaultB_PFCv_4	17Networks_LH_DefaultB_PFCv_4	#ce3e51
172	173	7Networks_LH_Default_PFC_8	-6	60	6	7Networks_LH_Default_PFC_8	#cd3f52	163	17Networks_LH_DefaultA_PFCm_3	17Networks_LH_DefaultA_PFCm_3	#feff03
173	174	7Networks_LH_Default_PFC_9	-6	44	6	7Networks_LH_Default_PFC_9	#cd3f53	164	17Networks_LH_DefaultA_PFCm_4	17Networks_LH_DefaultA_PFCm_4	#feff04
174	175	7Networks_LH_Default_PFC_10	-54	20	12	7Networks_LH_Default_PFC_10	#cd3f54	187	17Networks_LH_DefaultB_PFCv_5	17Networks_LH_DefaultB_PFCv_5	#ce3e52
175	176	7Networks_LH_Default_PFC_11	-16	68	8	7Networks_LH_Default_PFC_11	#cd3f55	165	17Networks_LH_DefaultA_PFCm_5	17Networks_LH_DefaultA_PFCm_5	#feff05
176	177	7Networks_LH_Default_PFC_12	-6	34	20	7Networks_LH_Default_PFC_12	#cd404e	166	17Networks_LH_DefaultA_PFCm_6	17Networks_LH_DefaultA_PFCm_6	#feff06
177	178	7Networks_LH_Default_PFC_13	-4	52	28	7Networks_LH_Default_PFC_13	#cd404f	175	17Networks_LH_DefaultB_PFCd_1	17Networks_LH_DefaultB_PFCd_1	#cd3f4d
178	179	7Networks_LH_Default_PFC_14	-14	58	30	7Networks_LH_Default_PFC_14	#cd4050	176	17Networks_LH_DefaultB_PFCd_2	17Networks_LH_DefaultB_PFCd_2	#cd3f4f
179	180	7Networks_LH_Default_PFC_15	-22	50	32	7Networks_LH_Default_PFC_15	#cd4051	177	17Networks_LH_DefaultB_PFCd_3	17Networks_LH_DefaultB_PFCd_3	#cd3f50
180	181	7Networks_LH_Default_PFC_16	-24	28	44	7Networks_LH_Default_PFC_16	#cd4052	151	17Networks_LH_DefaultA_PFCd_1	17Networks_LH_DefaultA_PFCd_1	#ffff03
181	182	7Networks_LH_Default_PFC_17	-40	20	48	7Networks_LH_Default_PFC_17	#cd4053	181	17Networks_LH_DefaultB_PFCl_1	17Networks_LH_DefaultB_PFCl_1	#cd3f54
182	183	7Networks_LH_Default_PFC_18	-8	42	52	7Networks_LH_Default_PFC_18	#cd4054	178	17Networks_LH_DefaultB_PFCd_4	17Networks_LH_DefaultB_PFCd_4	#cd3f51
183	184	7Networks_LH_Default_PFC_19	-18	36	48	7Networks_LH_Default_PFC_19	#cd4055	152	17Networks_LH_DefaultA_PFCd_2	17Networks_LH_DefaultA_PFCd_2	#ffff04
184	185	7Networks_LH_Default_PFC_20	-42	8	48	7Networks_LH_Default_PFC_20	#cd414e	182	17Networks_LH_DefaultB_PFCl_2	17Networks_LH_DefaultB_PFCl_2	#cd3f55
185	186	7Networks_LH_Default_PFC_21	-30	14	58	7Networks_LH_Default_PFC_21	#cd414f	139	17Networks_LH_ContB_PFCd_1	17Networks_LH_ContB_PFCd_1	#87334b
186	187	7Networks_LH_Default_PFC_22	-22	20	52	7Networks_LH_Default_PFC_22	#cd4150	153	17Networks_LH_DefaultA_PFCd_3	17Networks_LH_DefaultA_PFCd_3	#ffff05
187	188	7Networks_LH_Default_PFC_23	-12	24	60	7Networks_LH_Default_PFC_23	#cd4151	179	17Networks_LH_DefaultB_PFCd_5	17Networks_LH_DefaultB_PFCd_5	#cd3f52
188	189	7Networks_LH_Default_PFC_24	-6	10	64	7Networks_LH_Default_PFC_24	#cd4152	180	17Networks_LH_DefaultB_PFCd_6	17Networks_LH_DefaultB_PFCd_6	#cd3f53
189	190	7Networks_LH_Default_pCunPCC_1	-8	-52	10	7Networks_LH_Default_PCC_1	#cd3f4e	190	17Networks_LH_DefaultC_Rsp_2	17Networks_LH_DefaultC_Rsp_2	#000085
190	191	7Networks_LH_Default_pCunPCC_2	-14	-60	18	7Networks_LH_Default_PCC_2	#cd3f56	191	17Networks_LH_DefaultC_Rsp_3	17Networks_LH_DefaultC_Rsp_3	#000086
191	192	7Networks_LH_Default_pCunPCC_3	-4	-54	20	7Networks_LH_Default_PCC_3	#cd4056	154	17Networks_LH_DefaultA_pCunPCC_1	17Networks_LH_DefaultA_PCC_1	#fffe01
192	193	7Networks_LH_Default_pCunPCC_4	-6	-40	24	7Networks_LH_Default_PCC_4	#cd4153	147	17Networks_LH_ContC_Cingp_1	17Networks_LH_ContC_Cingp_1	#778cb4
193	194	7Networks_LH_Default_pCunPCC_5	-10	-70	32	7Networks_LH_Default_PCC_5	#cd4154	144	17Networks_LH_ContC_pCun_1	17Networks_LH_ContC_pCun_1	#778cb1
194	195	7Networks_LH_Default_pCunPCC_6	-6	-60	30	7Networks_LH_Default_PCC_6	#cd4155	155	17Networks_LH_DefaultA_pCunPCC_2	17Networks_LH_DefaultA_PCC_2	#fffe02
195	196	7Networks_LH_Default_pCunPCC_7	-8	-44	32	7Networks_LH_Default_PCC_7	#cd4156	156	17Networks_LH_DefaultA_pCunPCC_3	17Networks_LH_DefaultA_PCC_3	#fffe03
196	197	7Networks_LH_Default_pCunPCC_8	-4	-34	38	7Networks_LH_Default_PCC_8	#cd424f	157	17Networks_LH_DefaultA_pCunPCC_4	17Networks_LH_DefaultA_PCC_4	#fffe04
197	198	7Networks_LH_Default_pCunPCC_9	-2	-16	38	7Networks_LH_Default_PCC_9	#cd4250	158	17Networks_LH_DefaultA_pCunPCC_5	17Networks_LH_DefaultA_PCC_5	#fffe05
198	199	7Networks_LH_Default_pCunPCC_10	-2	-68	42	7Networks_LH_Default_PCC_10	#cd4251	159	17Networks_LH_DefaultA_pCunPCC_6	17Networks_LH_DefaultA_PCC_6	#fffe06
199	200	7Networks_LH_Default_pCunPCC_11	-6	-50	42	7Networks_LH_Default_PCC_11	#cd4252	160	17Networks_LH_DefaultA_pCunPCC_7	17Networks_LH_DefaultA_PCC_7	#fffe07
200	201	7Networks_RH_Vis_1	34	-36	-24	7Networks_RH_Vis_1	#7c1182	259	17Networks_RH_DorsAttnA_TempOcc_1	17Networks_RH_DorsAttnA_TempOcc_1	#4e9c3c
201	202	7Networks_RH_Vis_2	30	-30	-18	7Networks_RH_Vis_2	#7c1183	390	17Networks_RH_DefaultC_PHC_2	17Networks_RH_DefaultC_PHC_2	#050086
202	203	7Networks_RH_Vis_3	36	-54	-18	7Networks_RH_Vis_3	#7c1184	201	17Networks_RH_VisCent_ExStr_1	17Networks_RH_VisCent_ExStr_1	#7c1383
203	204	7Networks_RH_Vis_4	38	-74	-16	7Networks_RH_Vis_4	#7c1185	202	17Networks_RH_VisCent_ExStr_2	17Networks_RH_VisCent_ExStr_2	#7c1384
204	205	7Networks_RH_Vis_5	26	-52	-8	7Networks_RH_Vis_5	#7c1186	213	17Networks_RH_VisPeri_ExStrInf_1	17Networks_RH_VisPeri_ExStrSup_1	#fa0000
205	206	7Networks_RH_Vis_6	24	-74	-10	7Networks_RH_Vis_6	#7c1187	203	17Networks_RH_VisCent_ExStr_3	17Networks_RH_VisCent_ExStr_3	#7c1385
206	207	7Networks_RH_Vis_7	18	-36	-12	7Networks_RH_Vis_7	#7c1280	214	17Networks_RH_VisPeri_ExStrInf_2	17Networks_RH_VisPeri_ExStrSup_2	#fa0002
207	208	7Networks_RH_Vis_8	20	-88	-12	7Networks_RH_Vis_8	#7c1281	204	17Networks_RH_VisCent_ExStr_4	17Networks_RH_VisCent_ExStr_4	#7c1386
208	209	7Networks_RH_Vis_9	50	-64	-10	7Networks_RH_Vis_9	#7c1282	261	17Networks_RH_DorsAttnA_TempOcc_3	17Networks_RH_DorsAttnA_TempOcc_3	#4e9c3f
209	210	7Networks_RH_Vis_10	42	-84	-12	7Networks_RH_Vis_10	#7c1283	205	17Networks_RH_VisCent_ExStr_5	17Networks_RH_VisCent_ExStr_5	#7c1388
210	211	7Networks_RH_Vis_11	10	-72	-6	7Networks_RH_Vis_11	#7c1284	215	17Networks_RH_VisPeri_ExStrInf_3	17Networks_RH_VisPeri_ExStrSup_3	#fa0003
211	212	7Networks_RH_Vis_12	14	-58	-4	7Networks_RH_Vis_12	#7c1285	216	17Networks_RH_VisPeri_ExStrInf_4	17Networks_RH_VisPeri_ExStrSup_4	#fa0004
212	213	7Networks_RH_Vis_13	26	-96	-10	7Networks_RH_Vis_13	#7c1286	206	17Networks_RH_VisCent_ExStr_6	17Networks_RH_VisCent_ExStr_6	#7c1389
213	214	7Networks_RH_Vis_14	18	-44	-2	7Networks_RH_Vis_14	#7c1288	217	17Networks_RH_VisPeri_ExStrInf_5	17Networks_RH_VisPeri_ExStrSup_5	#fa0005
214	215	7Networks_RH_Vis_15	8	-92	-2	7Networks_RH_Vis_15	#7c1289	207	17Networks_RH_VisCent_Striate_1	17Networks_RH_VisCent_ExStr_7	#7c138a
215	216	7Networks_RH_Vis_16	48	-66	4	7Networks_RH_Vis_16	#7c128a	262	17Networks_RH_DorsAttnA_ParOcc_1	17Networks_RH_DorsAttnA_TempOcc_4	#4e9c40
216	217	7Networks_RH_Vis_17	14	-46	4	7Networks_RH_Vis_17	#7c128b	387	17Networks_RH_DefaultC_Rsp_1	17Networks_RH_DefaultC_Rsp_1	#050083
217	218	7Networks_RH_Vis_18	36	-88	2	7Networks_RH_Vis_18	#7c128c	208	17Networks_RH_VisCent_ExStr_7	17Networks_RH_VisCent_ExStr_8	#7c138b
218	219	7Networks_RH_Vis_19	10	-74	8	7Networks_RH_Vis_19	#7c128d	218	17Networks_RH_VisPeri_StriCal_1	17Networks_RH_VisPeri_ExStrSup_6	#fa0006
219	220	7Networks_RH_Vis_20	22	-60	6	7Networks_RH_Vis_20	#7c128e	219	17Networks_RH_VisPeri_StriCal_2	17Networks_RH_VisPeri_ExStrSup_7	#fa0007
220	221	7Networks_RH_Vis_21	24	-98	8	7Networks_RH_Vis_21	#7c1387	209	17Networks_RH_VisCent_ExStr_8	17Networks_RH_VisCent_ExStr_9	#7c138c
221	222	7Networks_RH_Vis_22	44	-78	10	7Networks_RH_Vis_22	#7c1388	210	17Networks_RH_VisCent_ExStr_9	17Networks_RH_VisCent_ExStr_10	#7c138d
222	223	7Networks_RH_Vis_23	12	-94	18	7Networks_RH_Vis_23	#7c1389	211	17Networks_RH_VisCent_ExStr_10	17Networks_RH_VisCent_ExStr_11	#7c138e
223	224	7Networks_RH_Vis_24	16	-66	18	7Networks_RH_Vis_24	#7c138a	220	17Networks_RH_VisPeri_ExStrSup_1	17Networks_RH_VisPeri_ExStrSup_8	#fa0008
224	225	7Networks_RH_Vis_25	4	-80	24	7Networks_RH_Vis_25	#7c138b	221	17Networks_RH_VisPeri_ExStrSup_2	17Networks_RH_VisPeri_ExStrSup_9	#fa0101
225	226	7Networks_RH_Vis_26	28	-88	20	7Networks_RH_Vis_26	#7c138c	212	17Networks_RH_VisCent_ExStr_11	17Networks_RH_VisCent_ExStr_12	#7c1487
226	227	7Networks_RH_Vis_27	36	-78	24	7Networks_RH_Vis_27	#7c138d	264	17Networks_RH_DorsAttnA_ParOcc_3	17Networks_RH_DorsAttnA_SPL_1	#4f9b3a
227	228	7Networks_RH_Vis_28	14	-78	34	7Networks_RH_Vis_28	#7c138e	222	17Networks_RH_VisPeri_ExStrSup_3	17Networks_RH_VisPeri_ExStrSup_10	#fa0102
228	229	7Networks_RH_Vis_29	16	-86	36	7Networks_RH_Vis_29	#7c1487	223	17Networks_RH_VisPeri_ExStrSup_4	17Networks_RH_VisPeri_ExStrSup_11	#fa0103
229	230	7Networks_RH_Vis_30	30	-78	36	7Networks_RH_Vis_30	#7c1488	265	17Networks_RH_DorsAttnA_SPL_1	17Networks_RH_DorsAttnA_SPL_2	#4f9b3b
230	231	7Networks_RH_SomMot_1	52	4	-6	7Networks_RH_SomMot_1	#4a80b3	244	17Networks_RH_SomMotB_Aud_1	17Networks_RH_SomMotB_S2_1	#2fcd9e
231	232	7Networks_RH_SomMot_2	62	-18	0	7Networks_RH_SomMot_2	#4a80b4	394	17Networks_RH_TempPar_4	17Networks_RH_TempPar_4	#1030ff
232	233	7Networks_RH_SomMot_3	54	-14	6	7Networks_RH_SomMot_3	#4a80b5	245	17Networks_RH_SomMotB_Aud_2	17Networks_RH_SomMotB_S2_2	#2fcd9f
233	234	7Networks_RH_SomMot_4	40	-20	4	7Networks_RH_SomMot_4	#4a81ae	246	17Networks_RH_SomMotB_Ins_1	17Networks_RH_SomMotB_S2_3	#2fcda0
234	235	7Networks_RH_SomMot_5	38	-8	14	7Networks_RH_SomMot_5	#4a81af	247	17Networks_RH_SomMotB_S2_1	17Networks_RH_SomMotB_S2_4	#2fcda1
235	236	7Networks_RH_SomMot_6	34	-22	14	7Networks_RH_SomMot_6	#4a81b0	248	17Networks_RH_SomMotB_S2_2	17Networks_RH_SomMotB_S2_5	#2fcda2
236	237	7Networks_RH_SomMot_7	60	-24	10	7Networks_RH_SomMot_7	#4a81b1	249	17Networks_RH_SomMotB_Aud_3	17Networks_RH_SomMotB_S2_6	#2fcda3
237	238	7Networks_RH_SomMot_8	64	-34	10	7Networks_RH_SomMot_8	#4a81b2	398	17Networks_RH_TempPar_8	17Networks_RH_TempPar_8	#0d29fd
238	239	7Networks_RH_SomMot_9	42	-14	18	7Networks_RH_SomMot_9	#4a81b3	250	17Networks_RH_SomMotB_S2_3	17Networks_RH_SomMotB_S2_7	#2fcda5
239	240	7Networks_RH_SomMot_10	42	-30	18	7Networks_RH_SomMot_10	#4a81b4	251	17Networks_RH_SomMotB_S2_4	17Networks_RH_SomMotB_S2_8	#2fcda6
240	241	7Networks_RH_SomMot_11	50	-10	14	7Networks_RH_SomMot_11	#4a81b5	252	17Networks_RH_SomMotB_S2_5	17Networks_RH_SomMotB_S2_9	#2fcda7
241	242	7Networks_RH_SomMot_12	60	0	10	7Networks_RH_SomMot_12	#4a82ae	253	17Networks_RH_SomMotB_S2_6	17Networks_RH_SomMotB_S2_10	#2fcda8
242	243	7Networks_RH_SomMot_13	48	-22	18	7Networks_RH_SomMot_13	#4a82af	254	17Networks_RH_SomMotB_S2_7	17Networks_RH_SomMotB_S2_11	#2fcda9
243	244	7Networks_RH_SomMot_14	62	-12	16	7Networks_RH_SomMot_14	#4a82b0	255	17Networks_RH_SomMotB_S2_8	17Networks_RH_SomMotB_S2_12	#2fcdaa
244	245	7Networks_RH_SomMot_15	60	6	30	7Networks_RH_SomMot_15	#4a82b1	256	17Networks_RH_SomMotB_Cent_1	17Networks_RH_SomMotB_S2_13	#2fcdab
245	246	7Networks_RH_SomMot_16	60	-6	26	7Networks_RH_SomMot_16	#4a82b2	257	17Networks_RH_SomMotB_Cent_2	17Networks_RH_SomMotB_S2_14	#2fcea4
246	247	7Networks_RH_SomMot_17	62	-14	30	7Networks_RH_SomMot_17	#4a82b3	274	17Networks_RH_DorsAttnB_PostC_1	17Networks_RH_DorsAttnB_PostC_1	#05760d
247	248	7Networks_RH_SomMot_18	52	-6	38	7Networks_RH_SomMot_18	#4a82b4	258	17Networks_RH_SomMotB_Cent_3	17Networks_RH_SomMotB_S2_15	#2fcea5
248	249	7Networks_RH_SomMot_19	54	-16	40	7Networks_RH_SomMot_19	#4a82b6	224	17Networks_RH_SomMotA_1	17Networks_RH_SomMotA_1	#4a82b5
249	250	7Networks_RH_SomMot_20	12	-18	42	7Networks_RH_SomMot_20	#4a82b7	297	17Networks_RH_SalVentAttnA_ParMed_1	17Networks_RH_SalVentAttnA_ParMed_2	#c73afa
250	251	7Networks_RH_SomMot_21	52	-12	50	7Networks_RH_SomMot_21	#4a82b8	225	17Networks_RH_SomMotA_2	17Networks_RH_SomMotA_2	#4a83ae
251	252	7Networks_RH_SomMot_22	44	-10	48	7Networks_RH_SomMot_22	#4a82b9	226	17Networks_RH_SomMotA_3	17Networks_RH_SomMotA_3	#4a83af
252	253	7Networks_RH_SomMot_23	50	-26	56	7Networks_RH_SomMot_23	#4a82ba	227	17Networks_RH_SomMotA_4	17Networks_RH_SomMotA_4	#4a83b0
253	254	7Networks_RH_SomMot_24	6	-10	52	7Networks_RH_SomMot_24	#4a82bb	228	17Networks_RH_SomMotA_5	17Networks_RH_SomMotA_5	#4a83b1
254	255	7Networks_RH_SomMot_25	44	-22	54	7Networks_RH_SomMot_25	#4a82bc	229	17Networks_RH_SomMotA_6	17Networks_RH_SomMotA_6	#4a83b2
255	256	7Networks_RH_SomMot_26	38	-20	64	7Networks_RH_SomMot_26	#4a83b5	230	17Networks_RH_SomMotA_7	17Networks_RH_SomMotA_7	#4a83b3
256	257	7Networks_RH_SomMot_27	32	-34	64	7Networks_RH_SomMot_27	#4a83b6	231	17Networks_RH_SomMotA_8	17Networks_RH_SomMotA_8	#4a83b4
257	258	7Networks_RH_SomMot_28	30	-40	64	7Networks_RH_SomMot_28	#4a83b7	232	17Networks_RH_SomMotA_9	17Networks_RH_SomMotA_9	#4a83b6
258	259	7Networks_RH_SomMot_29	34	-28	62	7Networks_RH_SomMot_29	#4a83b8	233	17Networks_RH_SomMotA_10	17Networks_RH_SomMotA_10	#4a83b7
259	260	7Networks_RH_SomMot_30	4	-24	58	7Networks_RH_SomMot_30	#4a83b9	234	17Networks_RH_SomMotA_11	17Networks_RH_SomMotA_11	#4a83b8
260	261	7Networks_RH_SomMot_31	28	-10	64	7Networks_RH_SomMot_31	#4a83ba	235	17Networks_RH_SomMotA_12	17Networks_RH_SomMotA_12	#4a83b9
261	262	7Networks_RH_SomMot_32	10	-40	68	7Networks_RH_SomMot_32	#4a83bb	236	17Networks_RH_SomMotA_13	17Networks_RH_SomMotA_13	#4a83ba
262	263	7Networks_RH_SomMot_33	22	-24	66	7Networks_RH_SomMot_33	#4a83bc	237	17Networks_RH_SomMotA_14	17Networks_RH_SomMotA_14	#4a83bb
263	264	7Networks_RH_SomMot_34	22	-28	68	7Networks_RH_SomMot_34	#4a84b5	238	17Networks_RH_SomMotA_15	17Networks_RH_SomMotA_15	#4a83bc
264	265	7Networks_RH_SomMot_35	22	-34	70	7Networks_RH_SomMot_35	#4a84b6	239	17Networks_RH_SomMotA_16	17Networks_RH_SomMotA_16	#4a84b5
265	266	7Networks_RH_SomMot_36	16	-6	70	7Networks_RH_SomMot_36	#4a84b7	240	17Networks_RH_SomMotA_17	17Networks_RH_SomMotA_17	#4a84b6
266	267	7Networks_RH_SomMot_37	16	-46	74	7Networks_RH_SomMot_37	#4a84b8	281	17Networks_RH_DorsAttnB_PostC_8	17Networks_RH_DorsAttnB_PostC_8	#057615
267	268	7Networks_RH_SomMot_38	6	-22	72	7Networks_RH_SomMot_38	#4a84b9	241	17Networks_RH_SomMotA_18	17Networks_RH_SomMotA_18	#4a84b7
268	269	7Networks_RH_SomMot_39	16	-18	74	7Networks_RH_SomMot_39	#4a84ba	242	17Networks_RH_SomMotA_19	17Networks_RH_SomMotA_19	#4a84b8
269	270	7Networks_RH_SomMot_40	12	-32	76	7Networks_RH_SomMot_40	#4a84bb	243	17Networks_RH_SomMotA_20	17Networks_RH_SomMotA_20	#4a84b9
270	271	7Networks_RH_DorsAttn_Post_1	50	-50	-18	7Networks_RH_DorsAttn_Post_1	#04760f	260	17Networks_RH_DorsAttnA_TempOcc_2	17Networks_RH_DorsAttnA_TempOcc_2	#4e9c3e
271	272	7Networks_RH_DorsAttn_Post_2	60	-54	-2	7Networks_RH_DorsAttn_Post_2	#047708	273	17Networks_RH_DorsAttnB_TempOcc_1	17Networks_RH_DorsAttnB_TempOcc_1	#05760f
272	273	7Networks_RH_DorsAttn_Post_3	54	-56	12	7Networks_RH_DorsAttn_Post_3	#047709	263	17Networks_RH_DorsAttnA_ParOcc_2	17Networks_RH_DorsAttnA_TempOcc_5	#4e9c41
273	274	7Networks_RH_DorsAttn_Post_4	46	-76	30	7Networks_RH_DorsAttn_Post_4	#04770a	386	17Networks_RH_DefaultC_IPL_2	17Networks_RH_DefaultC_IPL_2	#040185
274	275	7Networks_RH_DorsAttn_Post_5	32	-66	36	7Networks_RH_DorsAttn_Post_5	#04770b	266	17Networks_RH_DorsAttnA_SPL_2	17Networks_RH_DorsAttnA_SPL_3	#4f9b3c
275	276	7Networks_RH_DorsAttn_Post_6	58	-22	44	7Networks_RH_DorsAttn_Post_6	#04770c	275	17Networks_RH_DorsAttnB_PostC_2	17Networks_RH_DorsAttnB_PostC_2	#05760e
