index	label	network_label	label_7network	index_17network	label_17network	network_label_17network	atlas_name	network_id
99	LH_SalVentAttn_FrOperIns_3	SalVentAttn	7Networks_LH_SalVentAttn_FrOperIns_3	105.0	17Networks_LH_SalVentAttnB_Ins_2	SalVentAttnB	4S456	n/a
100	LH_SalVentAttn_FrOperIns_4	SalVentAttn	7Networks_LH_SalVentAttn_FrOperIns_4	90.0	17Networks_LH_SalVentAttnA_Ins_2	SalVentAttnA	4S456	n/a
101	LH_SalVentAttn_FrOperIns_5	SalVentAttn	7Networks_LH_SalVentAttn_FrOperIns_5	91.0	17Networks_LH_SalVentAttnA_Ins_3	SalVentAttnA	4S456	n/a
102	LH_SalVentAttn_FrOperIns_6	SalVentAttn	7Networks_LH_SalVentAttn_FrOperIns_6	92.0	17Networks_LH_SalVentAttnA_Ins_4	SalVentAttnA	4S456	n/a
103	LH_SalVentAttn_FrOperIns_7	SalVentAttn	7Networks_LH_SalVentAttn_FrOperIns_7	106.0	17Networks_LH_SalVentAttnB_Ins_3	SalVentAttnB	4S456	n/a
104	LH_SalVentAttn_FrOperIns_8	SalVentAttn	7Networks_LH_SalVentAttn_FrOperIns_8	93.0	17Networks_LH_SalVentAttnA_FrOper_1	SalVentAttnA	4S456	n/a
105	LH_SalVentAttn_FrOperIns_9	SalVentAttn	7Networks_LH_SalVentAttn_FrOperIns_9	94.0	17Networks_LH_SalVentAttnA_FrOper_2	SalVentAttnA	4S456	n/a
106	LH_SalVentAttn_PFCl_1	SalVentAttn	7Networks_LH_SalVentAttn_PFCl_1	102.0	17Networks_LH_SalVentAttnB_PFCl_2	SalVentAttnB	4S456	n/a
107	LH_SalVentAttn_Med_1	SalVentAttn	7Networks_LH_SalVentAttn_Med_1	108.0	17Networks_LH_SalVentAttnB_PFCmp_1	SalVentAttnB	4S456	n/a
108	LH_SalVentAttn_Med_2	SalVentAttn	7Networks_LH_SalVentAttn_Med_2	98.0	17Networks_LH_SalVentAttnA_FrMed_1	SalVentAttnA	4S456	n/a
109	LH_SalVentAttn_Med_3	SalVentAttn	7Networks_LH_SalVentAttn_Med_3	95.0	17Networks_LH_SalVentAttnA_ParMed_1	SalVentAttnA	4S456	n/a
110	LH_SalVentAttn_Med_4	SalVentAttn	7Networks_LH_SalVentAttn_Med_4	99.0	17Networks_LH_SalVentAttnA_FrMed_2	SalVentAttnA	4S456	n/a
111	LH_SalVentAttn_Med_5	SalVentAttn	7Networks_LH_SalVentAttn_Med_5	96.0	17Networks_LH_SalVentAttnA_ParMed_2	SalVentAttnA	4S456	n/a
112	LH_SalVentAttn_Med_6	SalVentAttn	7Networks_LH_SalVentAttn_Med_6	97.0	17Networks_LH_SalVentAttnA_ParMed_3	SalVentAttnA	4S456	n/a
113	LH_SalVentAttn_Med_7	SalVentAttn	7Networks_LH_SalVentAttn_Med_7	100.0	17Networks_LH_SalVentAttnA_FrMed_3	SalVentAttnA	4S456	n/a
114	LH_Limbic_OFC_1	Limbic	7Networks_LH_Limbic_OFC_1	109.0	17Networks_LH_LimbicB_OFC_1	LimbicB	4S456	n/a
115	LH_Limbic_OFC_2	Limbic	7Networks_LH_Limbic_OFC_2	110.0	17Networks_LH_LimbicB_OFC_2	LimbicB	4S456	n/a
